央视频道,#genre#
CCTV-1 综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv1gq-h264.m3u8#http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8#http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv2gq-h264.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?

CCTV-2 财经,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8

CCTV-3 综艺,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8#http://125.210.152.19:9090/live/hzgq-cctv3gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8

CCTV-4 中文国际,http://125.210.152.19:9090/live/hzgq-cctv4gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226191/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240316_1/encoder/0/playlist.m3u8?#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8

CCTV-5 体育,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8

CCTV-5+ 体育赛事,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8#http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240128_1/encoder/0/playlist.m3u8?

CCTV-6 电影,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226011/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240247_1/encoder/0/playlist.m3u8?#http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8

CCTV-7 国防军事,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226192/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8

CCTV-8 电视剧,http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226391/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240249_1/encoder/0/playlist.m3u8?#http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8

CCTV-9 纪录,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8#http://111.40.196.35/PLTV/88888888/224/3221225502/index.m3u8#http://39.134.65.208/PLTV/88888888/224/3221225676/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240250_1/encoder/0/playlist.m3u8?#http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8

CCTV-10 科教,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8#http://117.148.179.164/PLTV/88888888/224/3221232492/index.m3u8#http://117.148.179.175/PLTV/88888888/224/3221231666/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226189/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8

CCTV-11 戏曲,http://117.148.179.164/PLTV/88888888/224/3221231711/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226240/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8

CCTV-12 社会与法制,http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8#ttp://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8#http://117.148.179.150/PLTV/88888888/224/3221231660/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226190/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8

CCTV-13 新闻,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226233/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8

